,Unnamed: 0,Restaurant_Name,Restaurant_rated,Review_Written_By,User_Rated_Restaurant,Written_Review,Sentiment_Rating
37,37,Toit,4.7,Vidhi Dubey,4.0,-,1
38,38,Toit,4.7,Nessie,5.0,"Growing extremely fond of this place with every visit. In recent times, I have been disappointed with the food quality of most highly rated restaurants, but that is not the case with Toit! The food, beers, ambience are all worth the money. My only suggestion is to not have the blackboard drinks: I found them to be too sweet. Go for the classic cocktails instead, or the beers of course!",1
39,39,Toit,4.7,Anagha,1.0,tasteless and smelly food. Was delivered cold,0
40,40,Toit,4.7,Dank Chef Mohit,4.0,"Must try: Pizzas, Burgers, In house beer
I'm falling short of words to praise this place. The burgers and pizzas are to die for. It was my first time visiting a place which had in house beers. Tint-a-tin and red ale both were amazing. The place is absolutely spacious. The only two things I didn't like was the kids running around and the exceptionally loud music for a place which gives off chill vibes and not many people dancing

Food:4.8/5
Ambience: 5/5
Hospitality: 5/5",1
41,41,Toit,4.7,Sneha_T,5.0,-,1
42,42,Toit,4.7,Zishnu,5.0,-,1
43,43,Toit,4.7,Meera Palange,2.0,"I have ordered the same pasta multiple times before. This is the first time that the taste was Toit's pasta was NOT good. Also, the quality of cheese was low. Didn't expect this from Toit. Disappointed!",0
44,44,Toit,4.7,Akash,5.0,-,1
45,45,Toit,4.7,Parag Patil,1.0,The servers just don't care . The have a 7.5% service charge would be great if they actually did provide some service.,0
46,46,Toit,4.7,Truptii Gaikwad,5.0,-,1
47,47,Toit,4.7,Kaushik Bandyopadhyay,4.0,"Toit is one of my favourite places to go. The calamari fritto is my go to dish, the ghee roast was a bit disappointing and the liver patte was fantastic.",1
48,48,Toit,4.7,Sonya Chandra,5.0,-,1
49,49,Toit,4.7,Ajay Awad,5.0,thank you,1
50,50,Toit,4.7,Apeksha Gugale,1.0,"#notsopetfriendlyplace
Never visit toit with ur pet or without !!
The staff insisted thrice on letting my pet sit down on gravels. Two people stepped on my dog stupidly without looking where they are walking ! The staff turned their back on us and tried to avoid the situation. Nobody even asked if my dog was ok !! Rude staff !! They still insisted on keeping my dog down on gravels saying its still their policy.
They still had the audacity to explain their rules to me and show no humanity to even know what happened. I am never gonna visit toit again and everyone also should not visit toit ever. Stupid people and rude staff !!",0
51,51,Toit,4.7,Abizer Kabira,5.0,-,1
52,52,Toit,4.7,Keshav,5.0,Add little more rice and send cutlery,1
54,54,Toit,4.7,Swapnil.c.dumbre,5.0,"Love this place and their beers are top notch. Fish and chips and burgers here are love!!
Keep up the good service.",1
55,55,Toit,4.7,Shiv Pawar,1.0,Chicken was raw and taste even bad,0
56,56,Toit,4.7,Shrreya Singh,5.0,Love the fact that they constructed the place around a Banyan tree. Aesthetic decor and nicely lit with great music.,1
57,57,Toit,4.7,Mandar 7,1.0,-,0
58,58,Toit,4.7,Aishwarya Kunkur,1.0,-,0
59,59,Toit,4.7,Amit Tibrewala,2.0,"Toit at breakfast was totally disappointing. Coffees were served after 25 min of order, after a reminder and almost cold. Toast was served at the end of breakfast, after a reminder and interestingly, Toit does not serve butter with toast! Smoothie bowl was served in a plate…so all in all, a poor experience!",0
60,60,Toit,4.7,Gaurang Gupta,5.0,-,1
61,61,Toit,4.7,RJ,4.0,-,1
62,62,Toit,4.7,Ahilya C,4.0,"The best pizza in town. Try the Tartufo pizza and thank me later.
Apple cider beer at its best. Wish there was some other place that had the same taste!
Almond crusted chicken is also amazing!
One star less for service.. is understaffed often.",1
63,63,Toit,4.7,Manish Rathod,5.0,"I visited this place this place is one of the most famous places in Pune known for great for great service.
The Meraj ansary served very nicely nice service by him thanks a lot love you ❤️❤️❤️❤️❤️",1
64,64,Toit,4.7,Amit Birla,5.0,-,1
65,65,Toit,4.7,Mohit Makhija,5.0,"Nice stout beer and pizzas … good ambience , good food , fresh beer ! Nice feeling to go there , comforting . My favourite pub in town !",1
66,66,Toit,4.7,Ricky Coelho,5.0,"All time favourite when in Pune, great place to hangout any day of the week.
Special mention to Meraj Ansari who was serving us, attentive and courteous!",1
67,67,Toit,4.7,Sudarshan Sampath,5.0,"Meraj did a great service...!!! Keep it up.

Great Food. Will.visit next time again
Friendly service. Recommended u guys. Great places",1
68,68,Toit,4.7,Rajsekhar Naik,5.0,"Excellent place to spend some great time with friends
Great music
Great Ambience
Barring the queue time and the rush😀👍",1
69,69,Toit,4.7,Mel,5.0,Superb,1
70,70,Toit,4.7,Jenn,1.0,the food was not freshly cooked..it was the first time i ordered from toit..horrible experience,0
71,71,Toit,4.7,Amol Abhang,1.0,I should be receiving 2 sausage n 2 hash brown but received only one,0
72,72,Toit,4.7,Neo John,2.0,"1.packaging = 3/5
2.Donne Biryani = 1/5(box was open, food was cold, tested like made of week old greesy oil)
3.Raita = it was poison (idk if toit people taste it themselves before delivering it to others)",0
73,73,Toit,4.7,Vishwajeet Rapte,1.0,-,0
74,74,Toit,4.7,Harleen2685,1.0,Absolutely cold food,0
75,75,Toit,4.7,Akash Sabnis,5.0,-,1
76,76,Toit,4.7,Namrata Yadav,5.0,complementary cookie made my day ❤️,1
77,77,Toit,4.7,Souvik Saha,4.0,-,1
78,78,Toit,4.7,Rushab Luhade,1.0,-,0
79,79,Toit,4.7,Akshay Alone,1.0,-,0
81,81,Toit,4.7,Gagan Gill,1.0,Horrible experience. The pizza was crushed into half. When I contacted the customer executive ritesh he said that there is nothing wrong with it and it was delivered before time and in perfect condition. He terminated our conversation without asking me and lending any helping hand. I paid 600 plus bucks for a pizza that was crushed into half. Zomato executive said that there is nothing wrong with it even though i had uploaded the photo and said that he can’t help me because the restaurant is closed. This is hands down my worst experience with Zomato till date.,0
82,82,Toit,4.7,Vaibhav Gupta,4.0,-,1
83,83,Toit,4.7,DD_the_food_critic,5.0,-,1
84,84,Toit,4.7,Suzan Rodrigues,1.0,"I ordered for Spicy CHICKEN pizza but unfortunately I got cheated there was absolutely no chicken on the pizza only onions, capsicums, mushroom, olive's that's it. Basically you'll charged me for a chicken pizza and gave me a veg pizza 😔😔😔",0
85,85,Toit,4.7,Mayurika,5.0,-,1
86,86,Toit,4.7,Prash Sharma,5.0,-,1
87,87,Toit,4.7,Namrata Salian,5.0,I just love this cheese cake best in town,1
88,88,Toit,4.7,Vivaswan Damle,5.0,"Fantastic place for a good evening out with your friends or a date.
Ambience 5/5
Food 5/5
Drinks 4.5/5

Cocktails can have slightly better quantity. Otherwise great fantastic ambience and everything else. Ordered Andhra chilli chicken and pita with hummus. Was lovely. Had multiple cocktails which tasted great.

Lovely serving by waiter Vinod!! Deserves a kudos and a pat on the back!!",1
89,89,Toit,4.7,Shailesh G,5.0,-,1
90,90,Toit,4.7,Akshay Alone,1.0,-,0
91,91,Toit,4.7,Rakesh Kumar Raparla,5.0,"But delivery person took his own sweet time, Pizza was not hot at all!!!",1
92,92,Toit,4.7,Praneet Nambiar,5.0,-,1
93,93,Toit,4.7,Rinku Nehra,5.0,-,1
94,94,Toit,4.7,Rajeev,4.0,Awesome 👌. Great music and beer. Food also great that goes with the beer. You can come again and again and again.,1
95,95,Toit,4.7,Varsha K,1.0,Never ordering from here again,0
96,96,Toit,4.7,Ankurjyoti Bordoloi,5.0,"This place is huge but still it's usually crowded on weekends - call for reservations else you'll have to wait at the bar - which is fine if going solo. The in-house beer is good and fairly priced (Toit Weiss is my personal favourite). Pizza was also decent, burgers and cheese balls were great. Overall, decent option for a chill evening with friends or colleagues.

P.S. some might dislike the fact that they don't play Bollywood music at all, but not a downside for me personally.",1
97,97,Toit,4.7,Rakesh.om.gupta,1.0,-,0
98,98,Toit,4.7,Niharika Yadav,4.0,-,1
99,99,Toit,4.7,Vikas Sharma,1.0,"Absolutely cold pizza delivered in 1 hour and 15 mins
Distance to delivery is 2 kms from Kalyani Nagar to Viman Nagar.
Disappointing!!!",0
100,100,Toit,4.7,Swati Malladi,5.0,-,1
101,101,Toit,4.7,Ajay Kumar,5.0,-,1
102,102,Toit,4.7,Parth Chandan,1.0,I received someone else’s order.,0
103,103,Toit,4.7,Ashish Mehta,2.0,We heard a lot about the place so decided to visit on 3 may for dinner the place has an amazing ambiance and great music we ordered the watermelon and feta salad the black beans and cottage cheese burger and picante pizza and here is the feedback the salad was decent burger was a disaster as the bun was sweet and too thick the filling was too dry the cheese on the burger cutlet was too thick and just made is worstthe cold salad given with burger was just sadoverall not happythe pizza looked amazing but didnot have any tomato souce or spice to it it was bland we had literally entry and herbs on to it get flavour and the beer was decent but not cold enough also they took like 20 minutes of...read more,0
104,104,Toit,4.7,Anamika Thokal,5.0,-,1
105,105,Toit,4.7,Anuja Gupta,1.0,How can someone make this much bad pizza...worst pizza ever..,0
106,106,Toit,4.7,Souravi Nath,2.0,-,0
107,107,Toit,4.7,Farzaan Pardiwala,5.0,-,1
108,108,Toit,4.7,Preeti Kulkarni,5.0,"The ambience as usual was amazing and the crowd lively. They have a huge space all of which is very well done. We ordered a dessert called Bailey's mousse bar which was good :)
Very unlikely that one will get a table without reservation.",1
109,109,Toit,4.7,Sonu Tripathi,1.0,"well for amount charged, the least one could offer is proper packaging. Pasta dried out before it reached and, is almost cold. Chicken tasted as if they used frozen food. Overall highly disappointed from a brand name like that. The 'chef' really needed to taste this one.",0
110,110,Toit,4.7,Sourish Bose,5.0,-,1
111,111,Toit,4.7,Roopali Tungare,5.0,Lovely place to spend weekend with friends and family. Good drinks and food. Staff is courteous and provided good service.,1
112,112,Toit,4.7,Kiran Jalan,1.0,Very average for the price,0
114,114,Toit,4.7,Piyush,5.0,"Visited this place for the second time last night. Absolutely loved the ambience, and the food & drinks. Great food and drink service, didn't have to wait for long. Overall an an amazing place. Happy to visit again",1
115,115,Toit,4.7,Sushanth Rao,5.0,One of the most happening places in Kalyaninagar. Great vibes. The place almost always requires to get the reservation done in advance. Otherwise there would be a waiting time of almost 30 minutes. The bar counter is still accessible though. Great choice of brewed beers. One can also taste a sample amount before ordering. Smoking is allowed at the table. The ambience is great. The crowd is good. Service is super quick. The food tasted good. They have ample parking space outside. All in all a great place to hangout during the weekends. Would surely recommend.,1
116,116,Toit,4.7,Kat Adi,2.0,"Love the atmosphere of this place. Beer was good. First time we came was really nice. We came early first thing and enjoyed the breakfast. Breakfast menu is small, yet both times we have been told two items which have avacado are not available. If you can't make it a priority it shouldn't be on an already small menu. This morning we came at 11. It clearly states Breakfast ends at 11 and we ran late so decided we would go for lunch. It took 20min for anyone to acknowledge our presence, never were given water, luckily we ordered drinks. Only after looking at the menu and ordering did the waiter come back to tell us nothing but Breakfast was available. Even this they were confused about....read more",0
117,117,Toit,4.7,Satuner James,1.0,"Service is pathetic, food is below average. Toit management pay attention to what is happening, you will not have customers soon This is our second such experience at Toit.",0
118,118,Toit,4.7,Lovina Anthony,1.0,"The most horrible eatery in Pune!
They made us wait for an hour....gave us one tiny hash brown for what they call an English Breakfast!
Lousy service...pathetic attitude... Horrible food!!!",0
119,119,Toit,4.7,Nilesh Divekar,1.0,-,0
120,120,Toit,4.7,Gargi Mehra,5.0,-,1
121,121,Toit,4.7,DeepShikha,1.0,-,0
122,122,Toit,4.7,Lavanya,4.0,"Toit has been a well-known place for its food and beer. And definitely so, it's 6-beer trial is definitely a must try - all the beers have distinct flavours! We had their chicken skewers, which we found were a little dry. But it was compensated by their amazing BBQ chicken pizza. Their dark chocolate layer cake is a beautiful beautiful item which dessert lovers must definitely have.",1
123,123,Toit,4.7,Pascal Mazella,2.0,-,0
124,124,Toit,4.7,Akankshya Mishra,5.0,"Lovely ambience even if you visit this place during day time. The service was efficient and helpful.
The only demerit will be the fact that they serve hard drinks for people above 25 years of age.
Coming to the food-
I ordered Mac and cheese balls, which was creamy from the inside and crispy from the outside.
Toit full house pizza is a lovely change from various farmhouse pizzas served at other places. Not very happy with the crust of it, but the sauce, cheese and veggies were perfect.
Aglio olio pasta was not 100% authentic. These guys add several ingredients other than the main ones, which does amplify the flavor.
Overall, it was a good meal and 3 items were enough for 2 people with...read more",1
125,125,Toit,4.7,Prasenjit Mondal,4.0,Base was very thin. Cheese was missing.,1
128,128,Toit,4.7,Shashank Mancharkar,5.0,"I heard name of Toit for a long time but lately i visited with my wife and it was a great experience.

Location 10/10: It has a ramp so even you can take people with Wheelchair without any issue.

Parking 10/10 has their big own parking, so no worries

Ambience 9/10 : does not have a lot of indoor space bur outdoors is more fun

Food 9/10: Indeed the food was yummy and fairly priced

Drinks 8/10 : House beers are slightly overpriced and within the variety i personally like only 2 of them.

Service 9/10: servers are quick in getting the orders. Even @reception people are very polite and helpful.

Note: its recommend to get the table reserved well in advance. This is very crowded place and...read more",1
129,129,Toit,4.7,Ritika Raj,5.0,Sandeep needs a raise or a promotion. He took great care of all of us at the bar while a ton of us were waiting for our tables last night. Will only keep coming back! Thank you for your impeccable service as always TOIT. Way to go! 👏👏👏,1
130,130,Toit,4.7,Rahul Dey,5.0,"Good service by Tanvir snd good ambience, he operated us very well and made us comfortable. He helped us finding a table fast",1
131,131,Toit,4.7,Sujata Patel,4.0,"great food and quick service on weekends ☺️ we ordered cocktail and authentic pasta, pizza and some nonveg foods overall taste was good with quick dinning services ,,",1
132,132,Toit,4.7,Ayush Agrawal,1.0,"Not a breakfast place! Came here on a Saturday morning and were told they can't serve Eggs Florentine, avocado on toast, most kinds of bread, or anything to do with spinach or mushrooms. Theoretically a great menu, falls flat when you visit. Very disappointing visit, will avoid in the future.",0
133,133,Toit,4.7,Madhurima Mukerjee,5.0,-,1
134,134,Toit,4.7,Anamika Thokal,5.0,Love everything about Toit!,1
135,135,Toit,4.7,Barney DSouza,1.0,"The curries have spilled over. Waste of
Money.",0
136,136,Toit,4.7,Desai,1.0,This is 2nd such experience of ordering from TOIT through Zomato. Items are not received hot & that is completely unacceptable given the price I pay. I would put the blame both on Zomato & TOIT given that it's happened twice in few days.,0
137,137,Toit,4.7,Mel,5.0,Thanks Toit for the Amazing pizza and complimentary sweet cookie :-),1
138,138,Toit,4.7,Mrinal Chopra,1.0,Don’t get this. It’s a scam. The quantity is pathetic. Half the things written in the menu Arth even provided,0
139,139,Toit,4.7,Mel,5.0,"Thanks you for the Amazing food , worth the wait. Love the complimentary cookie it sweetened the experience.",1
140,140,Toit,4.7,Prasenjit Mandal,4.0,-,1
141,141,Toit,4.7,Santosh Narayanan,1.0,"horrible experience

2 hours for order to get delivered - ☹️",0
142,142,Toit,4.7,Saish Hegde,5.0,"Fresh beer,great food,amazing music & lovely ambience.
Tried Basmati beer for the first time & totally in love. Ordered Chicken wings & fish & chips.
Both were delicious",1
143,143,Toit,4.7,Pramit Debmallik,5.0,"Excellent food and drinks with good music, ambience to complement it. Only downer was that they don’t serve Moscow Mules.",1
145,145,Toit,4.7,Arjunmitkar02,5.0,"I consider myself as a pizza connoisseur and TOIT Pizza is certifiably one of the best in town, best I’ve had, cheers..🙂🍕👍🏼",1
146,146,Toit,4.7,Aditya Pande,5.0,-,1
147,147,Toit,4.7,Meenakshi Srivastava,5.0,"The coolest and funcky cafe in town! Pet friendly, exotic options of cuisines..amazing experience! Kudos team!
My personal fav now! Strongly recommend 🤟",1
148,148,Toit,4.7,Nils Gunnersen,4.0,Slow delivery. Almost cold,1
149,149,Toit,4.7,Prashant S,1.0,"The biryani was bland and nowhere even near to taste a Donne.

Chicken, spices, herbs were all put together just to give the color but no aroma or taste.

Initially was very happy that I found fiballly a place in Pune to have Donne biryani but very disappointed.

Instead of making such lame product mentioning authentic, they should stick to what they can locally prepare.",0
150,150,Toit,4.7,Roshan,1.0,-,0
151,151,Toit,4.7,Tushar,5.0,"Very few places in Pune serve good brew and Toit is amongst the best. Ambiance is really cool here unlike other places which are noisy as hell. If you want to have a chilled out evening, head to Toit but make sure you reserve a table so that you don't complain later that you had to wait for a table :p

Coming to food, they definitely serve great dishes and portion size is decent. Pricing wise, it is for sure not exorbitantly priced like other famous joints who are packed all throughout the week but won't serve you good food.

Would highly recommend!

Oh, and i saw reviews regarding poor service, honestly I didn't feel so both the times I visited Toit in past 3 weeks.",1
152,152,Toit,4.7,Khushi Bhatia,5.0,"Loved this place. Although we had to wait for a long time to be seated, we were served drinks and starters. The beer options are great and the food is amazing!",1
153,153,Toit,4.7,Desai,2.0,"Food was good but delayed by almost 30 mts. Both items (Pizza & Mac, cheese balls) were cold when received",0
154,154,Toit,4.7,Rishiraj Rane,1.0,-,0
155,155,Toit,4.7,Sindhu Nair,2.0,The delay from the restaurant was significant,0
156,156,Toit,4.7,Anshuman Singh,5.0,"Recently , my wife and I went to Toit. First thing to notice is chilled out ambience and lovely puneri crowd. We tried several delicacies, loved the wheat nachos and andhra style chicken.Keep up your service team",1
157,157,Toit,4.7,VIJAY KUMAR S,4.0,-,1
158,158,Toit,4.7,Rupashree Baraik,1.0,Pathetic service if you sit towards the bar.. no one bothered to check for order or even to serve the cutlery!! Super disappointed!!,0
159,159,Toit,4.7,Pallab Pain,5.0,"The vibe at Toit is pretty good and you’ll always find it crowded, so reserve a table before you go in the evenings or during peak hours. The food is good, the beers are good and the service is likewise. The prices aren’t high as you’d expect them to be. In fact, I found Toit to be more reasonable than many other places in the city.",1
160,160,Toit,4.7,Rajan,5.0,-,1
161,161,Toit,4.7,Avilash Behera,1.0,"The staff and over all attention to table is poor. Pets are not welcomed, just a restaurant feature. Over rated, not a place to unwind with your pets.",0
162,162,Toit,4.7,Aditya Mandhane,5.0,Impeccable craft beers and an old-timey party vibe when it is warmly lit and filled to the brim - more than enough for a goooood time. The ambience of multiple sprawling seating areas and two floors which can look over each other is as much a part of it as the rest.,1
163,163,Toit,4.7,Sanaya Thadani,5.0,"Service is great. Very sweet staff. I’m a regular, and I’ve gotten great service every time. Especially Promod. Very sweet and prompt :)",1
164,164,Toit,4.7,Saumya,5.0,"Everything about this place is just PERFECT!! The ambience, beer, food , crowd and mood! The best place to be for a weekend brunch.They have a Bangalorean and mangalorean menu as well which is worth trying. We tried their Haleem samosa and it was good. The chicken baked nachos and their chicken wings cannot be missed. Goes best with their beer! Would definitely visit again!",1
165,165,Toit,4.7,Elton Dcouto,5.0,"I had heard quite a lot about this place, and so we decided to try it out this Valentine's Day for Dinner and we really enjoined our time here! One of the best bars in Pune!
Right from the point of entry untill we left the place everything was well organized, I can't fault a single thing,
The TOIT staff was kind, professional and the service was great! The ambiance had a vintage vibe with well planned spacing and decor, great for couples, friends, and family's as well!
Good music good vintage decor vibes!

The food was pretty amazing (we loved it) the dishes were reasonably priced, quantity / potion sizes were good and by the end of the night we were stuffed and well satisfied as we...read more",1
166,166,Toit,4.7,Gaur Adityapratap Singh,5.0,"Amazing experience
Thank you so much Dinesh for a wonderful experience
Dinesh made sure that are experience was amazing
The place was buzzing with people but Dinesh made sure we where attended properly",1
168,168,Toit,4.7,Suraj Godhwani,5.0,"The food is absolutely amazing. When you can't decide where to go, go to toit. Everything is good here. The ambience the service the food. They doing something different and they doing it right.",1
169,169,Toit,4.7,Pranali,5.0,"Loved the food, the ambiance, the vibe, everything about this place.
It’s topping the chart currently and absolutely worth every penny.
Superb job done ✅",1
170,170,Toit,4.7,St Azyu,4.0,"Nice Ambience its wonderful they have rooftop place also, we had first time south indian food not bad that much everything is awesome , we will definitely visit again n,,,,,,, again",1
171,171,Toit,4.7,Pranjal Kulkarni,5.0,-,1
172,172,Toit,4.7,Kishore Tewari,4.0,Satisfied,1
173,173,Toit,4.7,Sarika Gupta,5.0,-,1
174,174,Toit,4.7,Shrenik Samra,1.0,Quality has gone down.. No use for wat on earth i have ordered it,0
175,175,Toit,4.7,VAIBHAV DHOOT,5.0,-,1
176,176,Toit,4.7,Paran Gogoi,5.0,"Toit lived up to its reputation - ordered a ckn pasta, a ckn pizza, a calamari and baked nachos. Portion sizes are substantial - took us two meals and some to finish these. The food travels well. All items were super - sp the pizza and the pasta. Top notch packaging - will order again",1
177,177,Toit,4.7,Pawan Purohit,5.0,"Best place on earth ! Enough said. Just to fill this column, try Toit and let me know if you find a better place.!",1
178,178,Toit,4.7,Bency Babu,5.0,-,1
179,179,Toit,4.7,Madhura,5.0,-,1
180,180,Toit,4.7,Omkar Taware,1.0,-,0
181,181,Toit,4.7,Alka,5.0,I just love calamari fritters here. I’ve had these multiple times and they never fail to deliver upto my expectations. This time they sent a complimentary cookie and it was amazing!!,1
182,182,Toit,4.7,9657561937,5.0,Hands down the best beer in Pune. Really nice place to go for a wind down after work or just for a good times.,1
183,183,Toit,4.7,Yesha Sonpal,5.0,"Amazing place, amazing food , amazing drinks, specially their beer, worth money and affordable..
Music is so amazing.. love everything about this place",1
184,184,Toit,4.7,Dimsum,5.0,The staff here are amazing! They have good knowledge of the beers & menu. Super cordial & chill environment. It’s a usual spot now:),1
185,185,Toit,4.7,Jaspal Singh,1.0,-,0
186,186,Toit,4.7,Diana Fowler,1.0,-,0
187,187,Toit,4.7,Jason Fernandes,5.0,-,1
188,188,Toit,4.7,Tanya,5.0,"Went on a Sunday night to watch a PL match. Called earlier to reserve a table with a good view of the match and they obliged. When we reached there, we were seated directly in front of the screen and another server even came to check that the right people have sat at the spot. Their craft beers are very good and they have a fun menu for food and drinks. Good place to chill at, especially on weekends, nice crowd and good vibes.",1
189,189,Toit,4.7,Gaurav Tawale,1.0,"While Toit has been the go to place for its food, beer and ambience. Staff dint allow to dance around the table we were sitting. Mostly tables are placed too close to mint more money. But some space for ppl to dance and enjoy should have been provided.",0
190,190,Toit,4.7,Krutika Mehta,5.0,-,1
191,191,Toit,4.7,Anurag,5.0,"Went for breakfast. All good but really can't fathom why a place like Toit can't afford proper espresso cups.
To serve a single shot espresso in a large cup is simply not done....",1
192,192,Toit,4.7,Archana Kulkarni,1.0,-,0
193,193,Toit,4.7,Ravindran Jagadeesan,2.0,"It was not biriyani, pudhina rice. Very much disappointed",0
194,194,Toit,4.7,Kapila Sandeep,5.0,Awesome ambience. Great food . Courteous staff. Service was a bit delayed though. It’s pet friendly so people scared of dogs etc like me may note the same.,1
195,195,Toit,4.7,Sunil Kolte,5.0,"Large and well spaced out seating area. Good crowd and great vibes. Craft beer is their USP. We liked the food too viz. Pizza, nachos, chicken88, et. all. What more can one ask for on a weekend!",1
196,196,Toit,4.7,Parul Sharma,5.0,"special thanks to delivery boy, who safely got the order delivered - though it was far off.",1
197,197,Toit,4.7,Mallika,5.0,thank you for the cookie 🍪 my kids loved it,1
198,198,Toit,4.7,Shreya Jangale,4.0,"I really liked this place. The vibe, food, beer- Definitely recommend going. May have to wait a lot for a table on weekends though.",1
199,199,Toit,4.7,Sukanya J,5.0,"I was here for the first time and was surprised to see such a huge seating area , beautiful lights , an amazing ambiance. The crowd was good . We ordered Mac and cheese poppers , chicken nachos , dip it uh , paneer fish . The quantity of food is value for money .",1
200,200,Toit,4.7,Tony Lahoud,1.0,-,0
201,201,Toit,4.7,Rabina Sheikh,5.0,-,1
202,202,Toit,4.7,Jagtar Singh,5.0,-,1
203,203,Toit,4.7,Preeti Bajpai,5.0,-,1
204,204,Toit,4.7,Phoenix,1.0,"I'm convinced places that have service charge tend to have worthless service. Our company had a dinner party here and everything sucked. The food was tasteless garbage(veg pizza, pasta in white sauce with chicken, the samosa, paneer appetizers). I know of roadside dhaba that make better samosa and paneer tikka that this. Veg pizza had the littlest amount of cheese. It's located at a horrible under construction patch of road with mud in the parking area. The server forgot spoons glasses plates and was generally unavailable. There's so much crowd everywhere. I don't get the appeal of this place",0
205,205,Toit,4.7,Samata Swamy,5.0,-,1
207,207,Toit,4.7,Fabian White,5.0,The Pizza's were not handled well during transit and therefore crumpled when we received them,1
208,208,Toit,4.7,Yatharth Tiwari,5.0,-,1
209,209,Toit,4.7,Georgeena,5.0,"Not that I'm surprised with the quality of the food at Toit, but your breakfast spread has floored me ! I'll be back soon!",1
210,210,Toit,4.7,Alisha Raj,2.0,-,0
211,211,Toit,4.7,Chetna R,4.0,It was a good experience. The ambiance is very welcoming and comfortable.Good food and service.this place should definitely be in your list.,1
212,212,Toit,4.7,Anubhav Shrivastava,5.0,-,1
213,213,Toit,4.7,Sumit Ram,4.0,"I had a chance to visit this place on its opening day, vibe of this place unmatchable.had a lovely time with friends.Everything was just perfect.",1
